name_of_gas,temperature scope,a7,a6,a5,a4,a3,a2,a1
CClF3,298.15-1000,-3.11E-12,1.28E-08,-2.06E-05,0.015388226,9.251237509,-1807.508836,158400.3084
CClF3,1000-6000,1.14E-16,-2.84E-12,2.87E-08,-0.000151567,13.44286132,-694.2970516,-536127.9322
ClCN,298.15-1000,9.94E-13,-3.81E-09,5.11E-06,-0.002137114,7.209019109,-420.2870433,-7049.902935
ClCN,1000-6000,-7.54E-17,-1.93E-13,2.02E-08,-5.19E-05,8.252842117,-1444.965935,160689.0697
COCl,298.15-1000,1.89E-13,1.97E-10,-2.67E-06,0.005099186,3.265185946,484.8629956,-67564.02005
COCl,1000-6000,1.46E-16,-3.62E-12,3.68E-08,-0.000196518,7.588263337,-958.4211281,26193.82086
CCl2,298.15-1000,-1.81E-12,4.26E-09,-6.65E-07,-0.004234142,11.23668547,-1820.727483,147169.0925
CCl2,1000-6000,9.64E-15,-2.31E-10,2.21E-06,-0.010633208,33.01633619,-26484.56004,9224481.36
CCl2F2,298.15-1000,-2.16E-12,8.41E-09,-1.25E-05,0.007830501,12.69972605,-2199.926781,173920.5235
CCl2F2,1000-6000,8.03E-17,-1.99E-12,2.01E-08,-0.000105444,13.30676065,-478.1970601,-469212.1159
COCl2,298.15-1000,3.63E-13,-8.61E-10,8.82E-08,0.001137452,9.567785948,-1035.324788,45931.10169
COCl2,1000-6000,1.71E-16,-4.14E-12,4.10E-08,-0.000213276,10.62195458,-988.2401449,-153093.1284
CCl3,298.15-1000,-3.07E-14,-3.34E-10,1.88E-06,-0.003726294,13.76526569,-2050.459118,152938.3575
CCl3,1000-6000,2.43E-17,-6.05E-13,6.16E-09,-3.28E-05,10.09708113,-153.8386522,-262663.3686
CCl3F,298.15-1000,-5.30E-13,1.61E-09,-9.42E-07,-0.00210375,16.93333856,-2714.078657,197858.4562
CCl3F,1000-6000,7.21E-17,-1.69E-12,1.61E-08,-7.98E-05,13.2198,-325.469356,-382772.1621
CCl4,298.15-1000,7.88E-13,-3.96E-09,8.51E-06,-0.010124762,20.18377422,-2989.921958,198777.2945
CCl4,1000-6000,5.24E-17,-1.15E-12,1.04E-08,-4.87E-05,13.12672043,-177.7873668,-305161.9308
CF,298.15-1000,-1.55E-12,6.83E-09,-1.22E-05,0.011072071,-0.411000256,571.0103471,-24476.70721
CF,1000-6000,-5.41E-16,1.06E-11,-6.65E-08,0.000226534,4.278799327,39.43776606,-192276.8899
FCN,298.15-1000,9.44E-13,-3.38E-09,4.04E-06,-0.001159732,6.815001158,-601.2705638,31900.06121
FCN,1000-6000,2.80E-16,-6.84E-12,6.85E-08,-0.000363739,8.591603533,-1806.745433,211212.1473
COF,298.15-1000,-5.54E-13,3.25E-09,-7.54E-06,0.00861713,2.518538922,48.74810177,1720.488896
COF,1000-6000,1.78E-16,-4.36E-12,4.35E-08,-0.000228407,7.670680267,-1070.997259,-68194.43116
CF2,298.15-1000,-2.48E-12,1.03E-08,-1.71E-05,0.013828868,2.258847964,-353.5269794,67297.08059
CF2,1000-6000,4.49E-15,-1.15E-10,1.08E-06,-0.0044002,15.86758788,-8691.399002,2793455.665
COF2,298.15-1000,-1.25E-12,5.98E-09,-1.16E-05,0.011141198,5.674988258,-1075.335626,104746.2986
COF2,1000-6000,2.94E-16,-6.94E-12,6.71E-08,-0.000341581,10.97699357,-1525.418753,-222066.5108
CF3,298.15-1000,-3.79E-12,1.58E-08,-2.64E-05,0.021405234,2.614688743,-594.9696293,83760.48786
CF3,1000-6000,1.69E-16,-3.96E-12,3.79E-08,-0.000189128,10.52515352,-785.9861824,-399700.5806
CIF3,298.15-1000,-3.31E-12,1.35E-08,-2.15E-05,0.016112704,8.769924784,-1495.23306,138086.3927
CIF3,1000-6000,9.30E-17,-2.36E-12,2.43E-08,-0.000130194,13.38489083,-608.4135481,-492625.2113
CF4,298.15-1000,-4.58E-12,1.90E-08,-3.15E-05,0.025248143,4.756514583,-1191.126371,123269.6146
CF4,1000-6000,1.98E-16,-4.73E-12,4.60E-08,-0.000234599,13.66548932,-1018.221083,-573461.5918
CF3OF,298.15-1000,-9.84E-12,3.74E-08,-5.61E-05,0.04080308,3.026878244,-1081.690192,183196.3271
CF3OF,1000-6000,1.28E-15,-2.72E-11,2.30E-07,-0.000973078,17.67492816,-2486.669345,-102920.5676
CF3SF5,298.15-1000,-2.94E-12,1.07E-08,-1.37E-05,0.004218932,33.78493211,-6912.838315,519160.0069
CF3SF5,1000-6000,2.45E-16,-5.79E-12,5.58E-08,-0.000280832,28.28676942,-1187.951036,-1128347.147
CH,298.15-1000,1.00E-12,-4.87E-09,9.12E-06,-0.007025032,6.144686814,-485.0718156,35182.76777
CH,1000-6000,-5.04E-16,4.41E-13,1.38E-07,-0.001391013,10.49878183,-8844.303213,3533143.603
CCl,298.15-1000,4.97E-12,-2.37E-08,4.20E-05,-0.033060115,19.90821654,-3696.963119,322446.7381
CCl,1000-6000,5.47E-15,-1.18E-10,9.87E-07,-0.003949244,14.3674279,-3474.77917,-1206584.092
CHClF2,298.15-1000,-2.93E-12,1.16E-08,-1.86E-05,0.01506381,7.664158706,-1780.531703,182919.5533
CHClF2,1000-6000,5.11E-16,-1.25E-11,1.28E-07,-0.000693292,15.16578243,-3817.394428,442785.4034
CHCl2F,298.15-1000,-2.70E-12,1.05E-08,-1.65E-05,0.013054523,8.492595029,-1726.754977,173521.9168
CHCl2F,1000-6000,4.40E-16,-1.10E-11,1.14E-07,-0.000630861,15.00982586,-3608.502165,452420.3956
CHCl3,298.15-1000,-1.34E-12,4.59E-09,-5.89E-06,0.003322889,13.01232584,-2429.588355,215272.973
CHCl3,1000-6000,3.77E-16,-9.60E-12,1.01E-07,-0.000572055,14.85434434,-3387.586615,501117.9649
CHF,298.15-1000,-2.14E-12,8.85E-09,-1.54E-05,0.014831086,-0.964809493,608.0688768,-16272.71899
CHF,1000-6000,3.27E-15,-3.19E-11,-1.78E-07,0.002946775,-2.067701275,9952.227963,-4913934.056
HCOF,298.15-1000,-2.11E-12,9.47E-09,-1.80E-05,0.018497044,0.30585843,-41.36112769,48476.75854
HCOF,1000-6000,5.63E-16,-1.40E-11,1.43E-07,-0.000783044,12.44785179,-4285.420903,651850.3663
CHF3,298.15-1000,-5.79E-12,2.41E-08,-4.07E-05,0.035243973,-1.864763005,-104.8839754,77555.17879
CHF3,1000-6000,5.39E-16,-1.34E-11,1.38E-07,-0.000754008,15.36482736,-4163.69912,367031.3952
HCN,298.15-1000,2.14E-12,-9.34E-09,1.57E-05,-0.011785822,10.90841749,-1703.478137,130456.4616
HCN,1000-6000,2.88E-16,-9.09E-12,9.82E-08,-0.000546073,9.65132125,-4352.209118,1198197.463
HNCO,298.15-1000,4.24E-13,-2.14E-09,3.64E-06,-0.001806017,9.387125496,-1514.06126,122342.4128
HNCO,1000-6000,4.52E-16,-1.19E-11,1.30E-07,-0.000767534,12.6391178,-5183.179699,1314047.594
HCO,298.15-1000,4.56E-13,-5.23E-10,-2.91E-06,0.007757598,0.34954232,701.0210253,-51896.68008
HCO,1000-6000,8.66E-16,-1.73E-11,1.37E-07,-0.000523355,8.374353559,-2404.749701,207075.1007
CHP,298.15-1000,-3.05E-13,1.64E-10,1.58E-06,-0.002394853,8.838380927,-1639.974421,151460.3223
CHP,1000-6000,-4.77E-15,1.07E-10,-7.93E-07,0.002806258,3.161776038,2296.952913,-1194065.053
CH2,298.15-1000,3.04E-12,-1.38E-08,2.39E-05,-0.018591443,12.76041456,-2062.163314,184321.1674
CH2,1000-6000,1.05E-15,-2.25E-11,1.95E-07,-0.000905431,9.824735018,-4762.385563,1142278.778
CH2ClF,298.15-1000,-4.30E-12,1.73E-08,-2.91E-05,0.02638031,0.23921984,-468.4031492,113849.3705
CH2ClF,1000-6000,8.11E-16,-2.05E-11,2.14E-07,-0.001195655,16.83767782,-6941.705791,1362047.704
CH2Cl2,298.15-1000,-2.27E-12,8.45E-09,-1.31E-05,0.011631444,7.337351212,-1790.55824,202868.6976
CH2Cl2,1000-6000,7.70E-16,-1.94E-11,2.03E-07,-0.001137857,16.66602621,-6668.03388,1398478.371
CH2F2,298.15-1000,-6.01E-12,2.53E-08,-4.42E-05,0.041374937,-7.452351309,1051.536906,4458.705067
CH2F2,1000-6000,8.90E-16,-2.23E-11,2.31E-07,-0.001277845,17.05077989,-7215.951242,1282455.459
H2CO,298.15-1000,-1.77E-12,8.89E-09,-1.98E-05,0.024473551,-5.928404676,1634.250656,-94014.83341
H2CO,1000-6000,9.13E-16,-2.26E-11,2.31E-07,-0.001254251,13.89078306,-6741.706922,1348624.729
CH3,298.15-1000,-4.56E-14,-1.13E-09,2.90E-06,-4.02E-05,6.097361082,-774.7747099,83543.08384
CH3,1000-6000,9.63E-16,-2.44E-11,2.59E-07,-0.00149155,14.98048565,-9462.796596,2829059.066
C1H3Cl,298.15-1000,-3.21E-12,1.26E-08,-2.13E-05,0.021455796,0.229667451,-408.2198416,108746.0249
C1H3Cl,1000-6000,1.09E-15,-2.76E-11,2.92E-07,-0.001649098,18.36363654,-9844.717287,2345644.187
C1H3F,298.15-1000,-5.29E-12,2.21E-08,-3.94E-05,0.039437979,-9.104567752,1556.121133,-35996.12042
C1H3F,1000-6000,1.23E-15,-3.08E-11,3.20E-07,-0.001777808,18.67602549,-10215.1488,2302635.42
CNI,298.15-1000,1.77E-12,-6.57E-09,8.88E-06,-0.004623536,7.723588482,-259.3060517,-24973.58429
CNI,1000-6000,2.45E-16,-5.94E-12,5.91E-08,-0.000310639,8.421504088,-1505.860679,233288.027
KCN,298.15-1000,1.30E-12,-4.54E-09,5.30E-06,-0.001315768,6.024645541,223.6171307,-55752.59354
KCN,1000-6000,2.07E-16,-5.11E-12,5.18E-08,-0.000277706,8.339877105,-1396.095476,221094.7364
CN,298.15-1000,6.50E-13,-1.56E-09,-1.71E-07,0.003754796,0.619123467,810.2417423,-79859.39697
CN,1000-6000,-3.04E-15,9.92E-11,-1.19E-06,0.006620246,-11.20588664,16402.24508,-6744606.056
NaCN,298.15-1000,1.51E-12,-5.47E-09,6.92E-06,-0.002766115,6.723959146,45.01029623,-44203.30427
NaCN,1000-6000,2.54E-16,-6.10E-12,6.02E-08,-0.000313335,8.421919961,-1495.53388,252783.5284
NCO,298.15-1000,-8.90E-13,4.95E-09,-1.12E-05,0.012675297,0.624827276,565.2721073,-54691.62405
NCO,1000-6000,-2.69E-16,4.67E-12,-1.36E-08,-6.77E-05,7.973036166,-1030.040285,-150360.5905
CNN,298.15-1000,3.45E-13,-1.70E-09,2.80E-06,-0.001299441,6.989459361,-664.959355,45095.93726
CNN,1000-6000,3.39E-16,-8.53E-12,8.88E-08,-0.000493958,9.074009327,-2817.492374,663863.1076
NCN,298.15-1000,-2.84E-12,1.26E-08,-2.26E-05,0.020637887,-1.682494087,923.4968392,-70533.95467
NCN,1000-6000,-3.54E-16,9.26E-12,-7.13E-08,0.000236093,7.16997304,67.20034844,-493251.9869
COS,298.15-1000,2.54E-12,-9.31E-09,1.31E-05,-0.008433831,10.36020509,-1453.163656,96457.85206
COS,1000-6000,3.55E-16,-8.06E-12,7.47E-08,-0.000286273,8.510105904,-1543.624976,105623.4211
CO2-,298.15-1000,-2.89E-12,1.33E-08,-2.52E-05,0.024577288,-4.929528943,1511.750233,-102539.8026
